@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute myo1-1 numeric
@attribute myo1-2 numeric
@attribute myo1-3 numeric
@attribute myo1-4 numeric
@attribute myo1-5 numeric
@attribute myo1-6 numeric
@attribute myo1-7 numeric
@attribute myo1-8 numeric
@attribute myo1-9 numeric
@attribute myo1-10 numeric
@attribute myo1-11 numeric
@attribute outputs-1 {0,1,2,3}
@attribute outputs-2 numeric

@data
1,'2018/02/25 22:19:48:023',1,-0.312093,-0.203771,-0.117145,0.494118,0.494118,0.505882,0.486275,0.447059,0.498039,0.494118,0.494118,?,0.5
2,'2018/02/25 22:19:48:063',1,-0.312093,-0.203771,-0.117145,0.490196,0.47451,0.360784,0.478431,0.470588,0.478431,0.494118,0.494118,?,0.5
3,'2018/02/25 22:19:48:067',1,-0.312083,-0.203791,-0.117269,0.494118,0.494118,0.505882,0.498039,0.482353,0.490196,0.494118,0.490196,?,0.5
4,'2018/02/25 22:19:48:094',1,-0.312129,-0.203467,-0.116809,0.490196,0.490196,0.372549,0.482353,0.490196,0.494118,0.498039,0.498039,?,0.5
5,'2018/02/25 22:19:48:120',1,-0.312057,-0.203043,-0.11651,0.494118,0.482353,0.552941,0.482353,0.470588,0.482353,0.494118,0.490196,?,0.5
6,'2018/02/25 22:19:48:154',1,-0.311912,-0.202388,-0.115623,0.490196,0.501961,0.505882,0.490196,0.458824,0.486275,0.498039,0.494118,?,0.5
7,'2018/02/25 22:19:48:187',1,-0.312149,-0.202004,-0.114668,0.494118,0.505882,0.564706,0.501961,0.513726,0.494118,0.490196,0.498039,?,0.5
8,'2018/02/25 22:19:48:223',1,-0.312149,-0.202004,-0.114668,0.494118,0.501961,0.494118,0.494118,0.478431,0.486275,0.490196,0.494118,?,0.5
9,'2018/02/25 22:19:48:229',1,-0.312181,-0.201944,-0.114298,0.498039,0.509804,0.623529,0.501961,0.482353,0.482353,0.486275,0.494118,?,0.5
10,'2018/02/25 22:19:48:257',1,-0.312096,-0.201856,-0.113816,0.494118,0.494118,0.54902,0.521569,0.568627,0.513726,0.498039,0.498039,?,0.5
11,'2018/02/25 22:19:48:287',1,-0.311943,-0.20169,-0.11286,0.490196,0.478431,0.478431,0.478431,0.482353,0.494118,0.490196,0.494118,?,0.5
12,'2018/02/25 22:19:48:322',1,-0.311759,-0.201584,-0.112274,0.498039,0.490196,0.439216,0.478431,0.490196,0.498039,0.501961,0.490196,?,0.5
13,'2018/02/25 22:19:48:333',1,-0.31146,-0.201205,-0.111611,0.498039,0.509804,0.533333,0.505882,0.458824,0.490196,0.494118,0.494118,?,0.5
14,'2018/02/25 22:19:48:359',1,-0.311042,-0.20092,-0.110818,0.505882,0.505882,0.486275,0.482353,0.494118,0.490196,0.498039,0.498039,?,0.5
15,'2018/02/25 22:19:48:387',1,-0.310571,-0.20113,-0.109219,0.490196,0.47451,0.482353,0.482353,0.458824,0.482353,0.494118,0.498039,?,0.5
16,'2018/02/25 22:19:48:427',1,-0.310622,-0.201275,-0.108568,0.490196,0.490196,0.486275,0.462745,0.458824,0.478431,0.498039,0.486275,?,0.5
17,'2018/02/25 22:19:48:455',1,-0.310622,-0.201275,-0.108568,0.490196,0.498039,0.47451,0.494118,0.517647,0.490196,0.494118,0.494118,?,0.5
18,'2018/02/25 22:19:48:461',1,-0.310622,-0.201275,-0.108568,0.494118,0.498039,0.45098,0.470588,0.486275,0.490196,0.498039,0.498039,?,0.5
19,'2018/02/25 22:19:48:486',1,-0.310985,-0.201339,-0.107278,0.490196,0.47451,0.494118,0.505882,0.494118,0.494118,0.494118,0.501961,?,0.5
20,'2018/02/25 22:19:48:511',1,-0.311189,-0.201208,-0.106404,0.494118,0.501961,0.505882,0.505882,0.462745,0.486275,0.490196,0.494118,?,0.5
21,'2018/02/25 22:19:48:539',1,-0.31119,-0.201086,-0.106421,0.490196,0.501961,0.490196,0.521569,0.54902,0.509804,0.501961,0.498039,?,0.5
22,'2018/02/25 22:19:48:568',1,-0.311434,-0.200927,-0.105309,0.498039,0.494118,0.427451,0.529412,0.52549,0.505882,0.498039,0.498039,?,0.5
23,'2018/02/25 22:19:48:604',1,-0.311639,-0.200674,-0.104452,0.490196,0.498039,0.486275,0.490196,0.45098,0.478431,0.494118,0.490196,?,0.5
24,'2018/02/25 22:19:48:615',1,-0.311639,-0.200674,-0.104452,0.490196,0.498039,0.486275,0.490196,0.45098,0.478431,0.494118,0.490196,?,0.5
25,'2018/02/25 22:19:48:641',1,-0.311639,-0.200674,-0.104452,0.498039,0.498039,0.486275,0.505882,0.517647,0.494118,0.498039,0.494118,?,0.5
26,'2018/02/25 22:19:48:666',1,-0.312226,-0.200813,-0.103509,0.490196,0.478431,0.560784,0.494118,0.498039,0.494118,0.490196,0.494118,?,0.5
27,'2018/02/25 22:19:48:691',1,-0.312443,-0.200858,-0.103725,0.498039,0.521569,0.505882,0.513726,0.521569,0.501961,0.498039,0.494118,?,0.5
28,'2018/02/25 22:19:48:725',1,-0.313012,-0.200988,-0.104277,0.494118,0.498039,0.466667,0.498039,0.505882,0.490196,0.494118,0.490196,?,0.5
29,'2018/02/25 22:19:48:752',1,-0.313473,-0.201314,-0.104558,0.498039,0.498039,0.501961,0.498039,0.52549,0.513726,0.501961,0.501961,?,0.5
30,'2018/02/25 22:19:48:786',1,-0.314048,-0.202477,-0.106077,0.498039,0.490196,0.533333,0.498039,0.47451,0.486275,0.490196,0.490196,?,0.5
31,'2018/02/25 22:19:48:794',1,-0.314048,-0.202477,-0.106077,0.494118,0.501961,0.462745,0.470588,0.447059,0.486275,0.498039,0.498039,?,0.5
32,'2018/02/25 22:19:48:856',1,-0.314292,-0.203073,-0.105835,0.494118,0.490196,0.52549,0.490196,0.482353,0.486275,0.486275,0.490196,?,0.5
33,'2018/02/25 22:19:48:856',1,-0.314602,-0.203234,-0.105161,0.494118,0.509804,0.545098,0.501961,0.443137,0.470588,0.490196,0.501961,?,0.5
34,'2018/02/25 22:19:48:915',1,-0.314602,-0.203234,-0.105161,0.494118,0.490196,0.505882,0.498039,0.501961,0.494118,0.498039,0.494118,?,0.5
35,'2018/02/25 22:19:48:915',1,-0.314603,-0.203112,-0.105178,0.498039,0.498039,0.47451,0.505882,0.501961,0.486275,0.490196,0.494118,?,0.5
36,'2018/02/25 22:19:48:924',1,-0.314614,-0.203092,-0.105055,0.494118,0.482353,0.482353,0.513726,0.52549,0.501961,0.498039,0.498039,?,0.5
37,'2018/02/25 22:19:48:954',1,-0.314626,-0.20295,-0.104949,0.494118,0.458824,0.501961,0.501961,0.498039,0.498039,0.498039,0.490196,?,0.5
38,'2018/02/25 22:19:48:987',1,-0.314981,-0.203106,-0.105012,0.490196,0.494118,0.462745,0.509804,0.482353,0.482353,0.486275,0.494118,?,0.5
39,'2018/02/25 22:19:49:020',1,-0.317239,-0.203544,-0.105978,0.494118,0.486275,0.478431,0.466667,0.454902,0.482353,0.494118,0.490196,?,0.5
40,'2018/02/25 22:19:49:025',1,-0.317239,-0.203544,-0.105978,0.498039,0.513726,0.482353,0.494118,0.545098,0.505882,0.498039,0.490196,?,0.5
41,'2018/02/25 22:19:49:052',1,-0.3194,-0.204168,-0.108052,0.494118,0.521569,0.486275,0.505882,0.482353,0.490196,0.498039,0.498039,?,0.5
